Your Publication's Number|Title|Earliest Priority Date|Publication Date|Assignee(s)|Inventors|CPC Codes
US9119664_B2|Integral foam port|12/20/2010|9/1/2015|COVIDIEN|"Kleyman, Gennady (Brooklyn);
Okoniewski, Greg (North Haven)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8235940_B2|Trocar entry incorporating an airbag|12/11/2008|8/7/2012|COVIDIEN|"Marczyk, Stanislaw (Stratford);
Creston, Brian (West Haven);
Okoniewski, Gregory G. (North Haven);
Hathaway, Peter (Lebanon);
Davis, Michael (Middletown)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8602983_B2|Access assembly having undercut structure|12/20/2010|12/10/2013|COVIDIEN|Kleyman, Gennady (Brooklyn)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8679151_B2|Access device including shape memory deployment mechanism|11/24/2010|3/25/2014|COVIDIEN|"Okoniewski, Gregory (North Haven);
Rodrigues, Jr. Anibal (Milford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968188_B2|Expandable segmented and sectioned access assembly|11/24/2010|3/3/2015|COVIDIEN|Rockrohr, Brian (Waterbury)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9022926_B2|Reinforced flexible access assembly|11/23/2010|5/5/2015|COVIDIEN|Barnes, Andrew (Naugatuck)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9254371_B2|Retrieval systems and methods for use thereof|3/6/2009|2/9/2016|COVIDIEN|"Martin, Brian B. (Felton);
Levy, David I. (San Diego)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20120108901_A1|Mirrored arthroscope|11/3/2010|5/3/2012|COVIDIEN|"Sargeant, Timothy (Guilford);
Desai, Arpan (Hamden);
Agawu, Atu (Princeton)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8591510_B2|Vessel sealing instrument with cutting mechanism|9/18/2008|11/26/2013|COVIDIEN|"Allen, Iv James D. (Broomfield);
Horner, Glenn A. (Boulder);
Cunningham, James S. (Boulder);
Appel, Victor K. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9037204_B2|Filtered detector array for optical patient sensors|9/7/2011|5/19/2015|COVIDIEN|Schlottau, Friso (Lyons)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9161722_B2|Technique for remanufacturing a medical sensor|9/7/2011|10/20/2015|COVIDIEN|"Besko, David P. (Thornton);
Sandmore, Donald R. (Lyons)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8256655_B2|Cartridge for applying varying amounts of tissue compression|4/22/2008|9/4/2012|COVIDIEN|"Sniffin, Kevin (Danbury);
Soltz, Michael (Springfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120157786_A1|Surgical retractor having ring of variable durometer|12/21/2010|6/21/2012|COVIDIEN|Pribanic, Russell (Roxbury)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8727974_B2|Access assembly including one or more compressible vents|11/24/2010|5/20/2014|COVIDIEN|Kasvikis, Dino (Mansfield)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9099863_B2|Surgical generator and related method for mitigating overcurrent conditions|9/9/2011|8/4/2015|COVIDIEN|"Smith, Robert B. (Loveland);
Rupp, Steven C. (Arvada)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H02H: EMERGENCY PROTECTIVE CIRCUIT ARRANGEMENTS"
US9113898_B2|Apparatus, system, and method for performing an electrosurgical procedure|10/9/2008|8/25/2015|COVIDIEN|Chojin, Edward M. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9113938_B2|Apparatus for performing electrosurgical procedures having a spring mechanism associated with the jaw members|9/9/2011|8/25/2015|COVIDIEN|Kerr, Duane E. (Loveland)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8974512_B2|Devices and methods for the treatment of vascular defects|9/18/2010|3/10/2015|COVIDIEN|"Aboytes, Maria (Palo Alto);
Rosqueta, Arturo S. (San Jose)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120253136_A1|Access port and flexible sleeve with attached cord|3/30/2011|10/4/2012|COVIDIEN|Rodrigues, Jr. Anibal (Milford)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8679098_B2|Rotation knobs for surgical instruments|9/13/2011|3/25/2014|COVIDIEN|Hart, Keir (Lafayette)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120004686_A1|System and Method of Making Tapered Looped Suture|9/24/2008|1/5/2012|COVIDIEN|"Maiorino, Nicholas (Branford);
Bowns, William R. (Ansonia)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
B29C: SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8845636_B2|Seal plate with insulation displacement connection|9/16/2011|9/30/2014|COVIDIEN|"Hempstead, Russell D. (Lafayette);
Artale, Ryan C. (Boulder);
Allen, Iv James D. (Broomfield);
Kerr, Duane E. (Loveland);
Horner, Glenn A. (Boulder);
Unger, Jeffrey R. (Longmont);
Olson, Jessica E. C. (Frederick);
Butcher, Dennis W. (Longmont);
Olson, Jessica E.C. (Frederick);
Sanders, Jason T. (Johnstown)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
H01R: ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS"
US20120083795_A1|Specimen retrieval device|10/4/2010|4/5/2012|COVIDIEN|"Fleming, Alistair Ian (Cambridge);
Grover, Simon Roderick (Cambridge);
Seegert, Charles Alan (Irving)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130071282_A1|Method For Securing A Stop Member To A Seal Plate Configured For Use With An Electrosurgical Instrument|9/19/2011|3/21/2013|COVIDIEN|Fry, Monte S. (Longmont)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
B23P: OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS;
B22F: WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER"
US8734464_B2|Surgical retrieval apparatus for thoracic procedures|1/6/2011|5/27/2014|COVIDIEN|"Fleming, Alistair Ian (Cambridge);
Fleming, Alistair Ian (Lower Cambourne);
Grover, Simon Roderick (Cambridge);
Godbold, Oliver Brian (Cambridge)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8777961_B2|Surgical retrieval apparatus|10/4/2010|7/15/2014|COVIDIEN|"Cabrera, Ramiro (Cheshire);
Grover, Simon Roderick (Cambridge);
Fleming, Alistair (Cambridge);
Seegert, Charies Alan (Irving);
Fleming, Alistair (Lower Cambourne);
Seegert, Charles Alan (Irving)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9005215_B2|Specimen retrieval apparatus|10/4/2010|4/14/2015|COVIDIEN|"Fleming, Alistair Ian (Cambridge);
Grover, Simon Roderick (Cambridge);
Godbold, Oliver Brian (Cambridge);
Seegert, Charles Alan (Irving)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9636169_B2|Electrosurgical instrument|9/19/2011|5/2/2017|COVIDIEN|"Mueller, Peter M. (Frederick);
Hempstead, Russell D. (Lafayette);
Artale, Ryan C. (Boulder);
Allen, Iv James D. (Broomfield);
Kerr, Duane E. (Loveland);
Horner, Glenn A. (Boulder);
Joseph, Daniel A. (Golden);
Unger, Jeffrey R. (Longmont);
Chojin, Edward M. (Boulder);
Kingsley, Dylan R. (Broomfield);
Brandt, Kim V. (Loveland);
Olson, Jessica E. C. (Frederick);
Hart, Keir (Lafayette);
Twomey, John R. (Longmont);
Butcher, Dennis W. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8745846_B2|Method of manufacturing handheld medical devices including microwave amplifier unit|9/20/2011|6/10/2014|COVIDIEN|"Jensen, Jeffrey L. (Boulder);
Behnke, Ii Robert J. (Erie);
Frushour, Scott E.M. (Boulder);
Frushour, Scott E. M. (Boulder);
Moul, Wayne L. (Loveland)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8974478_B2|Ultrasonic surgical system having a fluid cooled blade and related cooling methods therefor|9/20/2011|3/10/2015|COVIDIEN|"Hempstead, Russell D. (Lafayette);
Kerr, Duane E. (Loveland);
Cunningham, James S. (Boulder);
Nau, Jr. William H. (Longmont);
Ward, Arlen K. (Thornton);
Larson, Eric R. (Boulder);
Stoddard, Robert B. (Steamboat Springs);
Dickhans, William J. (Longmont);
Ross, Anthony B. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9023025_B2|Handheld medical devices including microwave amplifier unit at device handle|9/20/2011|5/5/2015|COVIDIEN|"Jensen, Jeffrey L. (Boulder);
Behnke, Ii Robert J. (Erie);
Frushour, Scott E. M. (Boulder);
Moul, Wayne L. (Loveland)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9033970_B2|Handheld medical devices including microwave amplifier unit at device handle|9/20/2011|5/19/2015|COVIDIEN|"Jensen, Jeffrey L. (Boulder);
Behnke, Ii Robert J. (Erie);
Frushour, Scott E. M. (Boulder);
Moul, Wayne L. (Loveland)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9039693_B2|Handheld medical devices including microwave amplifier unit at device handle|9/20/2011|5/26/2015|COVIDIEN|"Jensen, Jeffrey L. (Boulder);
Behnke, Ii Robert J. (Erie);
Frushour, Scott E. M. (Boulder);
Moul, Wayne L. (Loveland)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9039692_B2|Handheld medical devices including microwave amplifier unit at device handle|9/20/2011|5/26/2015|COVIDIEN|"Jensen, Jeffrey L. (Boulder);
Behnke, Ii Robert J. (Erie);
Frushour, Scott E. M. (Boulder);
Moul, Wayne L. (Loveland)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8535340_B2|Methods for ultrasonic tissue sensing and feedback|10/21/2009|9/17/2013|COVIDIEN|Allen, Charles D. (Broomfield)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01L: MEASURING FORCE, STRESS, TORQUE, WORK, MECHANICAL POWER, MECHANICAL EFFICIENCY, OR FLUID PRESSURE"
US8535341_B2|Methods for ultrasonic tissue sensing and feedback|10/21/2009|9/17/2013|COVIDIEN|Allen, Charles D. (Broomfield)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01L: MEASURING FORCE, STRESS, TORQUE, WORK, MECHANICAL POWER, MECHANICAL EFFICIENCY, OR FLUID PRESSURE"
US20130079609_A1|Shielded cable for medical sensor|9/22/2011|3/28/2013|COVIDIEN|Besko, David P. (Thornton)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
H01B: CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING OR DIELECTRIC PROPERTIES"
US8692992_B2|Faraday shield integrated into sensor bandage|9/22/2011|4/8/2014|COVIDIEN|Besko, David P. (Thornton)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G01J: MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION, PHASE OR PULSE CHARACTERISTICS OF INFRA-RED, VISIBLE OR ULTRA-VIOLET LIGHT; COLORIMETRY; RADIATION PYROMETRY;
G01N: INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES;
H05K: PRINTED CIRCUITS; CASINGS OR CONSTRUCTIONAL DETAILS OF ELECTRIC APPARATUS; MANUFACTURE OF ASSEMBLAGES OF ELECTRICAL COMPONENTS;
H01B: CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING OR DIELECTRIC PROPERTIES;
H01L: SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR"
US8726496_B2|Technique for remanufacturing a medical sensor|9/22/2011|5/20/2014|COVIDIEN|Besko, David P. (Thornton)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
B32B: LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM"
US20130079774_A1|End-Effector Assemblies for Electrosurgical Instruments and Methods of Manufacturing Jaw Assembly Components of End-Effector Assemblies|9/23/2011|3/28/2013|COVIDIEN|"Lyons, Michael B. (Boulder);
Whitney, William Ross (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
B23P: OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS"
US20120108904_A1|Cleaner for endoscope|10/20/2010|5/3/2012|COVIDIEN|"Ma, Yong (Cheshire);
Power, James M. (Madison)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8336556_B2|Surgical clip applier and method of assembly|8/25/2008|12/25/2012|COVIDIEN|Zergiebel, Earl M. (Guilford)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8690764_B2|Endoscope cleaner|10/20/2010|4/8/2014|COVIDIEN|"O'prey, Cormac (Bishops Stortford);
Collier, Nicholas John (Burwell);
Collier, Nicholas John (Cambridge);
Clark, Charlotte Adele (Cambridge);
Fleming, Alistair Ian (Cambridge);
Applegate, Robert James (Wallingford);
Fleming, Alistair Ian (Lower Cambourne);
Applegate, Robert James (Wallingfort)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9220436_B2|Technique for remanufacturing a BIS sensor|9/26/2011|12/29/2015|COVIDIEN|"Besko, David P. (Thornton);
Sandmore, Donald R. (Lyons)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9763567_B2|Endoscope wiper blade cleaner|10/20/2010|9/19/2017|COVIDIEN|"O'prey, Cormac (Bishops Stortford);
Clark, Charlotte Adele (Cambridge);
Fleming, Alistair Ian (Cambridge)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8961515_B2|Electrosurgical instrument|9/28/2011|2/24/2015|COVIDIEN|"Allen, Iv James D. (Broomfield);
Unger, Jeffrey R. (Longmont);
Chojin, Edward M. (Boulder);
Kingsley, Dylan R. (Broomfield);
Twomey, John R. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9486220_B2|Surgical tissue occluding device|9/28/2011|11/8/2016|COVIDIEN|"Mueller, Peter M. (Frederick);
Allen, Iv James D. (Broomfield);
Kerr, Duane E. (Loveland);
Joseph, Daniel A. (Golden);
Unger, Jeffrey R. (Longmont);
Brandt, Kim V. (Loveland);
Hart, Keir (Lafayette);
Twomey, John R. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10376301_B2|Logarithmic amplifier, electrosurgical generator including same, and method of controlling electrosurgical generator using same|9/28/2011|8/13/2019|COVIDIEN|"Heckel, Donald W. (Thornton);
Behnke, Ii Robert J. (Erie)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130085419_A1|Transducer/Waveguide Engagement Mechanisms for Ultrasonic Surgical Instruments|9/29/2011|4/4/2013|COVIDIEN|"Kappus, John J. (Denver);
Hempstead, Russell D. (Lafayette);
Kerr, Duane E. (Loveland);
Cunningham, James S. (Boulder);
Nau, Jr. William H. (Longmont);
Larson, Eric R. (Boulder);
Stoddard, Robert B. (Steamboat Springs);
Dickhans, William J. (Longmont);
Ross, Anthony B. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8700116_B2|Sensor system with pressure application|9/29/2011|4/15/2014|COVIDIEN|"Schlottau, Friso (Lyons);
Hayman, Sarah (Boulder);
Dewitt, Pierrat Neville (Golden);
Sandmore, Donald R. (Lyons);
Pierrat, Neville Dewitt (Golden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8756785_B2|Surgical instrument shafts and methods of manufacturing shafts for surgical instruments|9/29/2011|6/24/2014|COVIDIEN|"Mueller, Peter M. (Frederick);
Allen, Iv James D. (Broomfield);
Joseph, Daniel A. (Golden);
Unger, Jeffrey R. (Longmont);
Brandt, Kim V. (Loveland);
Hart, Keir (Lafayette);
Fry, Monte S. (Longmont)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
B23K: SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING; WORKING BY LASER BEAM;
B23P: OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS;
B21D: WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL; PUNCHING METAL"
US8795313_B2|Device detachment systems with indicators|9/29/2011|8/5/2014|COVIDIEN|"Liang, Jessica (Irvine);
Nguyen, Dinh (Garden Grove);
Beckham, David Scott (Costa Mesa);
Andrews, Christopher Charles (Lake Elsinore)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS"
US8945171_B2|Delivery system for implantable devices|9/29/2011|2/3/2015|COVIDIEN|"Lim, Chhuon ();
Lim, Chhuon (Santa Ana)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9060780_B2|Methods of manufacturing shafts for surgical instruments|9/29/2011|6/23/2015|COVIDIEN|"Hempstead, Russell D. (Lafayette);
Artale, Ryan C. (Boulder);
Allen, Iv James D. (Broomfield);
Horner, Glenn A. (Boulder);
Unger, Jeffrey R. (Longmont);
Olson, Jessica E. C. (Frederick);
Twomey, John R. (Longmont);
Butcher, Dennis W. (Longmont);
Olson, Jessica E.C. (Frederick)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9668806_B2|Surgical forceps including a removable stop member|9/29/2011|6/6/2017|COVIDIEN|"Allen, Iv James D. (Broomfield);
Unger, Jeffrey R. (Longmont);
Chojin, Edward M. (Boulder);
Kingsley, Dylan R. (Broomfield);
Twomey, John R. (Longmont);
Ambrosius, Kristel L. (Golden)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
B23P: OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS"
US20130085368_A1|Radiolucent ECG Electrode And Method Of Making Same|9/30/2011|4/4/2013|COVIDIEN|Coggins, Scott R. (Littleton)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US20130085514_A1|Rotating occlusion treatment system|9/30/2011|4/4/2013|COVIDIEN|"Lee, Stephen W. (San Jose);
Malhi, Arnaz S. (Watertown)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8864795_B2|Surgical forceps|10/3/2011|10/21/2014|COVIDIEN|"Hempstead, Russell D. (Lafayette);
Allen, Iv James D. (Broomfield);
Kerr, Duane E. (Loveland);
Horner, Glenn A. (Boulder);
Huseman, Mark J. (Broomfield);
Joseph, Daniel A. (Golden);
Chojin, Edward M. (Boulder);
Reschke, Arlan J. (Longmont);
Sharp, Robert M. (Boulder);
Evans, Allan J. (Golden)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8945112_B2|External cooling devices and systems for surgical instruments|10/3/2011|2/3/2015|COVIDIEN|"Mueller, Peter M. (Frederick);
Kerr, Duane E. (Loveland);
Horner, Glenn A. (Boulder);
Stoddard, Robert B. (Steamboat Springs);
Waaler, Luke (Longmont);
Hrenchir, Paul (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10245413_B2|Distal access aspiration guide catheter|10/4/2010|4/2/2019|COVIDIEN|"Strauss, Brian (Trabuco Canyon);
Shimada, Lynn (Orange);
Valko, Jeffrey (San Clemente);
Torres, Seferino (Santa Ana)"|"A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
A61L: METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES"
US8361062_B2|Slidable choke microwave antenna|5/29/2008|1/29/2013|COVIDIEN|Bonn, Kenlyn S. (Arvada)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01Q: ANTENNAS, i.e. RADIO AERIALS"
US8424553_B2|Coolant line clip assemblies for use with fluid delivery systems|5/20/2008|4/23/2013|COVIDIEN|Decarlo, Arnold V. (Frederick)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
F16L: PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES, CABLES OR PROTECTIVE TUBING; MEANS FOR THERMAL INSULATION IN GENERAL"
US20120024482_A1|System and Method of Making Tapered Looped Suture|9/24/2008|2/2/2012|COVIDIEN|"Maiorino, Nicholas (Branford);
Bowns, William R. (Ansonia)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
B29C: SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8186557_B2|Surgical stapling apparatus with clamping assembly|3/31/2009|5/29/2012|COVIDIEN|"Cohen, Matthew D. (Berlin);
Broom, Jennifer (Branford);
Rideout, Christina (Middletown)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8215530_B2|Surgical instrument with indicator|9/3/2008|7/10/2012|COVIDIEN|Milliman, Keith L. (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8931679_B2|Surgical stapling apparatus|10/17/2011|1/13/2015|COVIDIEN|Kostrzewski, Stanislaw (Newtown)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8708212_B2|Tilt top anvil with torsion spring|10/18/2011|4/29/2014|COVIDIEN|Williams, Justin (Naugatuck)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8968308_B2|Multi-circuit seal plates|10/20/2011|3/3/2015|COVIDIEN|"Horner, Glenn A. (Boulder);
Brandt, Kim V. (Loveland);
Oliver, Christina A. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9314295_B2|Dissection scissors on surgical device|10/20/2011|4/19/2016|COVIDIEN|Garrison, David M. (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9492221_B2|Dissection scissors on surgical device|10/20/2011|11/15/2016|COVIDIEN|Garrison, David M. (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130098970_A1|Surgical Apparatus and Method for Endoluminal Surgery|10/25/2011|4/25/2013|COVIDIEN|"Aranyi, Ernest (Easton);
Racenet, David (Middletown);
Bronson, Dwight (Cheshire)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8657177_B2|Surgical apparatus and method for endoscopic surgery|10/25/2011|2/25/2014|COVIDIEN|"Scirica, Paul A. (Huntington);
Kostrzewski, Stanislaw (Newtown);
Aranyi, Ernest (Easton)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
